,league,season,team,player,nation,pos,age,born,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Expected-xG,Expected-npxG,Expected-xAG,Expected-npxG+xAG,Progression-PrgC,Progression-PrgP,Progression-PrgR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Per 90 Minutes-xG,Per 90 Minutes-xAG,Per 90 Minutes-xG+xAG,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xAG,Playing Time_keeper-MP,Playing Time_keeper-Starts,Playing Time_keeper-Min,90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,90s_keeper_adv,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att (GK),Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,90s_shooting,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected_shooting-xG,Expected_shooting-npxG,Expected_shooting-npxG/Sh,Expected_shooting-G-xG,Expected_shooting-np:G-xG,90s_passing,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xAG,Expected-xA,Expected-A-xAG,KP,1/3,PPA,CrsPA,PrgP,90s_passing_types,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,90s_goal_shot_creation,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,90s_defense,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,90s_possession,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Take-Ons-Att,Take-Ons-Succ,Take-Ons-Succ%,Take-Ons-Tkld,Take-Ons-Tkld%,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,Playing Time_playing_time-MP,Playing Time_playing_time-Min,Playing Time_playing_time-Mn/MP,Playing Time_playing_time-Min%,Playing Time_playing_time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,90s_misc,Performance_misc-CrdY,Performance_misc-CrdR,Performance_misc-2CrdY,Performance_misc-Fls,Performance_misc-Fld,Performance_misc-Off,Performance_misc-Crs,Performance_misc-Int,Performance_misc-TklW,Performance_misc-PKwon,Performance_misc-PKcon,Performance_misc-OG,Performance_misc-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%
0,ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8,32.4,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11.0,-1.5,91,39,73,12,126,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,32.4,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,32.4,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,35,2919,83,85.4,32.4,35,83,17,0,,0,2.29,78,27,51,1.57,-0.4,66.4,25.0,41.3,1.27,0.04,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0
1,ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7,35.8,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,2.7,47,240,39,2,278,35.8,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,35.8,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,35.8,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,38,3225,85,94.3,35.8,37,87,29,1,24,0,2.34,84,28,56,1.56,-1.21,71.6,26.5,45.1,1.26,-0.18,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6
2,ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24,1998,35,35,3091,34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,8,75,21,28.0,2.18,0.61,0.08,0.29,20.2,4,2,2,7.4,5.8,0.08,0.6,0.2,34.3,1692,2006,84.3,25780,7898,907,992,91.4,635,744,85.3,91,140,65.0,10,9.6,11.2,0.4,102,160,130,13,344,34.3,2006,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38,34.3,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0,34.3,2326,24,244,926,1173,165,2324,81,37,45.7,38,46.9,1563,8190,3514,91,83,37,53,58,1827,202,35,3091,88,90.4,34.3,35,88,22,0,,1,2.37,81,23,58,1.69,0.59,68.6,24.9,43.7,1.27,0.04,34.3,2,0,0,30,36,3,77,15,17,1,0,0,158,3,9,25.0
3,ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22,2001,38,38,3420,38.0,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,2,10,3,30.0,0.26,0.08,0.2,0.67,10.5,0,0,0,1.6,1.6,0.16,0.4,0.4,38.0,2635,2851,92.4,43599,15948,1202,1274,94.3,1298,1373,94.5,104,150,69.3,1,0.2,0.9,0.8,6,175,6,1,157,38.0,2851,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11,38.0,29,0.76,26,0,1,2,0,0,3,0.08,3,0,0,0,0,0,38.0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3,38.0,3093,223,1239,1720,142,15,3093,15,10,66.7,4,26.7,1992,9002,5201,16,22,1,22,13,2297,6,38,3420,90,100.0,38.0,38,90,38,0,,0,2.34,91,29,62,1.63,,76.1,27.9,48.2,1.27,,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5
4,ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,34,34,3015,33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0,33.5,48,1,0,10,4,50.8,0.37,6.8,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,33.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,33.5,1190,1436,82.9,28047,16368,248,250,99.2,715,722,99.0,223,452,49.3,0,0.0,0.0,0.0,2,21,0,0,2,33.5,1436,1170,259,100,0,0,0,0,0,0,0,0,1190,7,1,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,33.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3,33.5,1509,1139,1484,25,0,0,1509,0,0,,0,,933,4389,2772,0,0,0,1,0,800,0,34,3015,89,88.2,33.5,34,89,33,0,,0,1.91,72,48,24,0.72,2.72,58.8,49.8,9.0,0.27,1.52,33.5,4,0,0,1,7,0,0,0,0,0,0,2,48,5,0,100.0
5,ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,9.1,9.1,5.2,14.3,72,97,222,0.52,0.33,0.86,0.52,0.86,0.43,0.25,0.68,0.43,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,14.3,0,0,0,9.1,9.1,0.14,1.9,1.9,21.0,635,838,75.8,9115,2499,376,441,85.3,201,247,81.4,29,74,39.2,7,5.2,4.8,1.8,50,46,32,2,97,21.0,838,759,79,6,6,4,69,8,52,20,17,0,635,0,28,21.0,101,4.81,65,10,16,4,4,2,14,0.67,9,1,2,1,1,0,21.0,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,21.0,1109,2,54,458,607,129,1109,87,39,44.8,37,42.5,699,4257,1972,72,42,35,66,42,866,222,31,1894,61,55.4,21.0,22,73,4,9,32,1,1.61,33,26,7,0.33,-1.02,27.6,21.1,6.5,0.31,-0.29,21.0,4,0,0,28,34,12,69,9,15,1,0,0,89,18,21,46.2
6,ESP-La Liga,2324,Athletic Club,Nico Williams,ESP,FW,21,2002,31,29,2263,25.1,5,11,16,5,0,0,6,1,6.0,6.0,5.7,11.7,143,66,302,0.2,0.44,0.64,0.2,0.64,0.24,0.22,0.46,0.24,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,5,56,19,33.9,2.23,0.76,0.09,0.26,15.7,1,0,0,6.0,6.0,0.11,-1.0,-1.0,25.1,579,828,69.9,9035,2545,321,374,85.8,196,265,74.0,43,101,42.6,11,5.7,7.5,5.3,47,26,48,22,66,25.1,828,739,85,16,8,3,153,11,57,36,8,0,579,4,47,25.1,121,4.81,72,18,19,6,6,0,24,0.95,15,2,4,1,2,0,25.1,31,12,9,15,7,13,36,36.1,23,18,2,16,3,34,4,1,25.1,1203,14,112,372,746,148,1203,193,86,44.6,92,47.7,800,6467,3736,143,77,62,76,51,849,302,31,2263,73,66.2,25.1,29,76,7,2,23,0,1.9,44,23,21,0.84,0.6,38.6,25.9,12.8,0.51,0.61,25.1,6,1,1,19,37,12,153,3,12,3,1,0,131,8,9,47.1
7,ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16,2007,37,22,2201,24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.2,0.2,0.41,0.2,0.41,0.21,0.25,0.47,0.21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,5,58,21,36.2,2.37,0.86,0.09,0.24,17.5,0,0,0,5.2,5.2,0.09,-0.2,-0.2,24.5,903,1132,79.8,12868,3009,572,650,88.0,262,337,77.7,44,77,57.1,5,6.2,6.5,-1.2,38,39,52,16,80,24.5,1132,1091,36,4,6,6,87,14,18,6,4,1,903,5,22,24.5,108,4.41,64,5,17,9,8,5,18,0.74,12,0,2,1,2,1,24.5,61,37,32,15,14,18,48,37.5,30,32,0,32,19,80,11,0,24.5,1475,14,118,460,923,147,1475,160,70,43.8,58,36.3,1023,6622,3889,123,78,57,54,26,1157,350,37,2201,59,64.4,24.5,22,83,12,15,25,1,2.22,57,33,24,0.98,0.17,52.3,30.5,21.8,0.89,-0.15,24.5,3,0,0,23,52,4,87,19,37,2,0,0,102,2,11,15.4
8,GER-Bundesliga,2324,Bayern Munich,Harry Kane,ENG,FW,30,1993,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33.0,36,102,164,1.14,0.25,1.39,0.98,1.24,0.97,0.2,1.17,0.85,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,36,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5,30.6,26.7,0.19,5.4,4.3,31.5,474,664,71.4,8936,2715,216,266,81.2,166,222,74.8,74,114,64.9,8,6.4,5.9,1.6,31,66,41,6,102,31.5,664,620,41,10,13,14,31,8,2,1,0,0,474,3,31,31.5,83,2.63,54,2,7,13,7,0,11,0.35,8,1,0,2,0,0,31.5,13,9,4,4,5,6,18,33.3,12,12,4,8,6,19,14,0,31.5,995,19,69,395,541,180,990,59,24,40.7,30,50.8,634,3098,1287,36,25,14,45,45,782,164,32,2839,89,92.8,31.5,32,89,27,0,,0,2.16,85,39,46,1.46,0.24,81.1,28.6,52.5,1.66,1.46,31.5,2,0,0,10,39,13,31,6,9,0,0,0,55,30,34,46.9
9,ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21,2002,33,29,2607,29.0,22,11,33,13,9,9,7,0,18.2,11.1,11.1,22.2,117,197,195,0.76,0.38,1.14,0.45,0.83,0.63,0.38,1.01,0.38,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,22,100,37,37.0,3.45,1.28,0.13,0.35,22.1,11,9,9,18.2,11.1,0.11,3.8,1.9,29.0,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85.0,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197,29.0,1415,1294,111,23,27,14,81,22,55,24,12,0,1121,10,37,29.0,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2,29.0,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2,29.0,1754,22,183,742,852,126,1745,104,52,50.0,46,44.2,1148,7236,3492,117,66,46,57,44,1362,195,33,2607,79,76.2,29.0,29,86,14,4,26,0,1.7,66,46,20,0.69,1.35,58.5,45.1,13.4,0.46,0.13,29.0,7,0,0,23,26,6,81,20,12,1,0,0,105,1,4,20.0
10,GER-Bundesliga,2324,Dortmund,Mats Hummels,GER,DF,34,1988,25,20,1581,17.6,3,0,3,3,0,0,4,1,3.2,3.2,0.9,4.1,11,82,1,0.17,0.0,0.17,0.17,0.17,0.18,0.05,0.23,0.18,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,3,16,6,37.5,0.91,0.34,0.19,0.5,11.7,0,0,0,3.2,3.2,0.23,-0.2,-0.2,17.6,1262,1418,89.0,25463,8497,381,402,94.8,722,781,92.4,150,202,74.3,0,0.9,1.4,-0.9,9,86,6,0,82,17.6,1418,1366,50,44,3,16,3,3,0,0,0,0,1262,2,10,17.6,24,1.37,20,0,0,3,0,1,2,0.11,1,0,0,1,0,0,17.6,52,34,34,12,6,30,53,56.6,23,33,11,22,33,85,82,0,17.6,1649,167,698,888,76,20,1649,7,2,28.6,4,57.1,1095,5594,3224,11,13,1,7,6,1183,1,25,1581,63,51.7,17.6,20,75,13,5,18,4,1.88,34,24,10,0.57,-0.34,31.0,26.5,4.5,0.26,-0.17,17.6,4,1,0,12,9,0,3,33,34,0,2,0,99,38,24,61.3
11,ESP-La Liga,2324,Girona,Artem Dovbyk,UKR,FW,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,24.2,17.9,0.23,-0.2,-0.9,28.7,277,392,70.7,3272,471,186,235,79.1,62,89,69.7,5,6,83.3,8,6.2,3.7,1.8,27,9,10,0,26,28.7,392,359,28,0,2,2,1,0,0,0,0,0,277,5,16,28.7,57,1.98,41,0,6,8,2,0,13,0.45,9,0,1,3,0,0,28.7,4,3,2,1,1,0,2,0.0,2,8,1,7,0,4,17,0,28.7,606,19,36,230,341,185,598,25,17,68.0,8,32.0,351,1294,449,18,7,16,50,39,487,118,36,2587,72,75.6,28.7,32,78,10,4,26,0,2.19,67,36,31,1.08,0.21,56.5,38.9,17.6,0.61,0.73,28.7,2,0,0,27,13,33,1,0,3,0,0,0,24,39,40,49.4
